,RegionName,State,Metro,2013 Average (One Bed),2014 Average (One Bed),2015 Average (One Bed),2016 Average (One Bed),2017 Average (One Bed),2018 Average (One Bed),2013 Average (Two Bed),2014 Average (Two Bed),2015 Average (Two Bed),2016 Average (Two Bed),2017 Average (Two Bed),2018 Average (Two Bed),2013 Average (Three Bed),2014 Average (Three Bed),2015 Average (Three Bed),2016 Average (Three Bed),2017 Average (Three Bed),2018 Average (Three Bed),2013 Average (Four Bed),2014 Average (Four Bed),2015 Average (Four Bed),2016 Average (Four Bed),2017 Average (Four Bed),2018 Average (Four Bed),2013 Average (Five Bed),2014 Average (Five Bed),2015 Average (Five Bed),2016 Average (Five Bed),2017 Average (Five Bed),2018 Average (FIve Bed)
0,Bergen County,NJ,New York-Newark-Jersey City,,,1538.333333333333,1591.583333333333,1727.25,1964.666666666667,,,2193.0416666666665,2191.333333333333,2371.458333333333,2520.833333333333,,,2467.5,2542.9166666666665,2541.6666666666665,2604.958333333333,,,,,3283.333333333333,3400.625,,,,,,
1,Middlesex County,NJ,New York-Newark-Jersey City,,,,,1116.8333333333333,1520.791666666667,1585.208333333333,1631.791666666667,1687.916666666667,1729.583333333333,1827.916666666667,1888.375,2020.0,2058.333333333333,2088.75,2124.7916666666665,2247.9166666666665,2263.1666666666665,,,,,,,,,,,,
2,Essex County,NJ,New York-Newark-Jersey City,936.6666666666665,939.9166666666665,1052.9166666666667,1107.7083333333333,1264.5416666666667,1381.333333333333,1276.0416666666667,1253.75,1307.5,1432.083333333333,1592.5,1675.625,1310.4166666666667,1287.5,1329.1666666666667,1388.958333333333,1466.25,1575.0,,,,,1668.833333333333,1756.208333333333,,,,,,
3,Hudson County,NJ,New York-Newark-Jersey City,1816.583333333333,1847.625,1892.5,1925.208333333333,2029.25,2189.1666666666665,,,2418.5416666666665,2468.5416666666665,2480.1666666666665,2647.4166666666665,,,2018.041666666667,2456.6666666666665,2327.9166666666665,2347.458333333333,,,,700.0,2609.1666666666665,2341.4166666666665,,,,,1541.666666666667,2493.083333333333
4,Monmouth County,NJ,New York-Newark-Jersey City,1246.6666666666667,1344.7916666666667,1320.5833333333333,1393.333333333333,1406.458333333333,1465.625,1740.208333333333,1769.583333333333,1773.75,1783.041666666667,1841.25,1916.666666666667,2241.875,2254.1666666666665,2332.5,2312.5,2370.833333333333,2445.833333333333,,,,,3014.583333333333,3483.333333333333,,,,,,
5,Ocean County,NJ,New York-Newark-Jersey City,,,,176.66666666666663,1219.7916666666667,1235.8333333333333,1271.0416666666667,1297.0833333333333,1338.5416666666667,1387.916666666667,1458.75,1482.708333333333,1170.8333333333333,1560.416666666667,1564.375,1625.0,1724.166666666667,1757.833333333333,,,,,,,,,,,,
6,Union County,NJ,New York-Newark-Jersey City,,,1283.9166666666667,1411.458333333333,1540.291666666667,1591.25,1551.666666666667,1657.416666666667,1638.041666666667,1765.916666666667,1854.541666666667,1904.708333333333,284.375,1636.458333333333,1665.416666666667,1869.166666666667,1868.75,1897.916666666667,,,,,,,,,,,,
7,Camden County,NJ,Philadelphia-Camden-Wilmington,843.5,809.1666666666665,914.2916666666665,962.625,1014.0,1026.4583333333333,1140.0833333333333,1125.0,1228.3333333333333,1345.6666666666667,1363.0833333333333,1322.5416666666667,,,,381.625,1762.5,1681.25,,,,,,,,,,,,
8,Passaic County,NJ,New York-Newark-Jersey City,1118.3333333333333,1153.75,1185.4166666666667,1220.2083333333333,1278.5416666666667,1351.3333333333333,1481.25,1512.5,1565.208333333333,1536.875,1614.583333333333,1630.416666666667,1791.666666666667,1612.083333333333,1668.75,1746.875,1859.166666666667,1919.375,,,,,,,,,,,,
9,Morris County,NJ,New York-Newark-Jersey City,1273.5416666666667,1354.1666666666667,1548.75,1517.75,1702.0,1904.416666666667,1955.833333333333,2040.0,2128.6666666666665,2207.75,2305.75,2396.6666666666665,,,,,2541.1666666666665,2597.2916666666665,,,,,,,,,,,,
10,Burlington County,NJ,Philadelphia-Camden-Wilmington,935.0416666666665,974.9166666666665,1020.375,1065.2083333333333,1119.7916666666667,1143.6666666666667,1269.25,1305.4166666666667,1327.125,1342.2916666666667,1393.333333333333,1444.583333333333,,,,,992.0833333333335,1717.916666666667,,,,,,,,,,,,
11,Mercer County,NJ,Trenton,,,,,,852.2916666666665,,,,,,1173.75,,,,,,878.125,,,,,,,,,,,,
12,Somerset County,NJ,New York-Newark-Jersey City,,,1165.8333333333333,1375.708333333333,1463.416666666667,1497.791666666667,1742.708333333333,1754.166666666667,1823.75,1868.958333333333,1925.0,1931.875,,,,,2189.583333333333,2135.833333333333,,,,,,,,,,,,
13,Gloucester County,NJ,Philadelphia-Camden-Wilmington,,,,,968.5416666666665,1088.8333333333333,1182.2916666666667,1035.4166666666667,1193.5833333333333,1255.625,1273.5416666666667,1324.0416666666667,,,,,1470.0,1571.166666666667,,,,,,,,,,,,
14,Atlantic County,NJ,Atlantic City-Hammonton,1007.0833333333335,996.25,1062.875,1014.0833333333335,943.125,1000.8333333333335,1278.9583333333333,1217.7083333333333,1237.1666666666667,1201.5,1184.4166666666667,1191.4583333333333,,,,1529.416666666667,1548.916666666667,1541.0,,,,,,,,,,,,
15,Sussex County,NJ,New York-Newark-Jersey City,,,,,537.7083333333334,1153.875,,,,,1418.75,1412.291666666667,,,,,,,,,,,,,,,,,,
16,Hunterdon County,NJ,New York-Newark-Jersey City,,,,,681.0416666666666,1328.3333333333333,,,,,1643.75,1776.041666666667,,,,,,,,,,,,,,,,,,
