,RegionName,State,Metro,2013 Average,2014 Average,2015 Average,2016 Average,2017 Average,2018 Average
51,Bergen County,NJ,New York-Newark-Jersey City,,,1817.5833333333333,1893.125,2036.6666666666667,2018.7916666666667
61,Middlesex County,NJ,New York-Newark-Jersey City,1526.875,1641.0416666666667,1677.0833333333333,1667.0833333333333,1673.3333333333333,1722.2916666666667
69,Essex County,NJ,New York-Newark-Jersey City,1163.4583333333333,1189.5833333333333,1270.625,1317.4166666666667,1422.2916666666667,1468.7083333333333
88,Hudson County,NJ,New York-Newark-Jersey City,,,,1917.1875,1870.4166666666667,1840.625
89,Monmouth County,NJ,New York-Newark-Jersey City,1594.0833333333333,1540.2083333333333,1605.4583333333333,1635.4166666666667,1658.5416666666667,1720.8333333333333
110,Union County,NJ,New York-Newark-Jersey City,1374.7916666666667,1500.0,1444.5416666666667,1530.625,1618.125,1688.9583333333333
120,Passaic County,NJ,New York-Newark-Jersey City,1382.2916666666667,1237.5,1404.7916666666667,1478.125,1556.2083333333333,1529.0833333333333
126,Morris County,NJ,New York-Newark-Jersey City,,1925.0,1892.0833333333333,1878.5416666666667,1884.5833333333333,1917.2916666666667
135,Burlington County,NJ,Philadelphia-Camden-Wilmington,,,,,1242.9545454545455,1175.0
163,Mercer County,NJ,Trenton,,,,,,1020.7083333333334
175,Somerset County,NJ,New York-Newark-Jersey City,,,,1524.5,1686.25,1763.75
202,Atlantic County,NJ,Atlantic City-Hammonton,,,,1175.0,1274.375,1364.5833333333333
